,Gender,Age,Attendance
7894,0,42,0.93
1256,1,58,0.69
1554,0,73,0.88
8438,0,41,0.71
2735,0,34,0.79
4274,1,40,0.52
4207,0,52,0.41
5044,1,50,0.94
1232,1,55,0.68
7696,1,57,0.76
5544,0,28,0.93
6276,0,48,0.64
1784,0,51,0.5
6905,1,47,0.58
2192,0,58,0.61
5202,0,61,0.6
5218,0,49,0.89
8598,0,38,0.61
1570,0,60,0.76
6181,0,50,0.75
5376,1,52,0.7
1228,0,57,0.57
7962,0,60,0.86
6024,1,57,0.83
5715,0,61,0.8
5173,0,64,0.51
1009,1,27,0.87
1727,1,38,0.51
9176,1,40,0.78
3436,0,61,0.8
2847,0,71,0.77
730,0,62,0.76
3481,0,52,0.81
4554,1,55,0.92
6036,0,68,0.65
121,1,41,0.94
2887,0,66,0.92
7670,0,48,0.72
3813,0,62,0.31
4761,1,59,0.92
2068,1,48,0.7
6102,0,52,0.82
1305,1,54,0.72
1347,0,47,0.63
2393,1,59,0.8
1501,1,48,0.69
4544,1,37,0.8
4179,0,32,0.61
6265,1,26,0.85
1938,1,15,0.59
4009,0,22,0.61
717,0,34,0.42
9211,0,54,0.48
5125,1,39,0.84
3231,0,59,0.44
4648,0,78,0.66
8468,1,40,0.86
2423,1,59,0.81
9108,0,50,0.94
5170,1,38,0.56
7952,0,61,0.77
8666,1,26,0.85
7370,1,57,0.85
2721,1,65,0.82
962,0,70,0.83
306,0,30,0.94
3657,0,73,0.77
1418,0,54,0.93
8346,0,45,0.95
7394,0,71,0.69
3282,0,55,0.73
1295,0,90,0.84
6039,0,56,0.76
5065,1,44,0.55
2018,0,43,0.76
7854,0,57,0.54
5411,1,31,0.63
7173,1,26,0.44
5156,0,71,0.84
4330,1,59,0.92
3435,1,46,0.78
3201,0,44,0.75
2514,0,45,0.94
5932,0,53,0.57
5948,1,61,0.56
8900,0,69,0.86
4694,0,53,0.86
422,1,68,0.82
4703,0,46,0.69
3764,0,28,0.65
2309,1,76,0.95
8312,1,41,0.68
5946,0,43,0.68
251,1,26,0.51
1429,0,34,0.88
9808,1,87,0.91
1614,0,52,0.81
9017,1,47,0.79
1416,0,62,0.85
4053,0,54,0.73
5571,1,44,0.51
6477,0,62,0.83
8906,0,65,0.78
2643,0,54,0.77
3171,1,54,0.62
9213,1,34,0.95
3046,0,29,0.82
34,1,52,0.82
2976,0,22,0.48
5429,1,65,0.45
1251,0,48,0.68
8094,1,47,0.77
2043,0,45,0.74
5027,0,37,0.79
2828,1,35,0.64
5889,0,23,0.39
1457,1,50,0.84
6935,1,40,0.6
5221,1,50,0.81
1971,0,16,0.77
4351,1,71,0.77
2000,1,73,0.87
2334,1,74,0.67
6474,1,72,0.77
3301,0,52,0.68
9484,0,13,0.77
9792,1,44,0.56
9373,0,51,0.6
9404,0,34,0.81
5525,0,54,0.96
279,0,54,0.52
1211,0,27,0.69
4536,0,67,0.38
6925,1,85,0.79
9832,0,60,0.83
4426,0,40,0.76
1331,1,52,0.61
6892,1,53,0.79
5107,0,56,0.61
9237,1,35,0.51
1027,0,51,0.84
8584,1,43,0.91
7992,0,64,0.88
4462,1,66,0.8
8859,0,50,0.54
7362,1,7,0.66
5014,1,32,0.5
1533,0,5,0.7
3553,0,39,0.86
1330,1,68,0.74
4295,0,50,0.89
6228,1,40,0.72
3421,1,22,0.94
1113,0,65,0.75
4428,0,69,0.84
5246,1,61,0.98
9281,0,66,0.57
4490,1,50,0.62
2076,0,41,0.87
4881,0,56,0.99
8233,0,49,0.54
2956,0,55,0.5
7425,0,33,0.73
8660,0,44,0.64
7132,1,65,0.68
1745,0,51,0.68
8408,1,68,0.59
6749,0,66,0.76
237,0,65,0.89
7151,1,68,0.67
4806,0,28,0.52
3864,1,67,0.66
554,0,50,0.63
6806,1,44,0.81
6723,1,16,0.46
932,1,41,0.77
6707,1,44,0.53
6534,0,42,0.84
7420,1,58,0.86
1574,0,36,0.74
3928,1,34,0.52
2913,0,65,0.8
9570,0,58,0.59
201,0,62,0.67
5253,0,81,0.83
6331,0,46,0.74
9341,0,42,0.52
6636,0,29,0.88
4809,0,62,0.85
2349,1,51,0.76
3527,0,44,0.53
8122,1,42,0.92
7256,1,58,0.28
2057,1,26,0.65
6881,0,63,0.71
745,1,39,0.47
2965,1,51,0.48
5551,0,47,0.59
1356,1,71,0.74
3913,1,76,0.94
8834,1,60,0.72
8160,1,37,0.75
2796,0,43,0.54
9868,0,46,0.87
6802,0,57,0.81
5228,1,32,0.59
2338,1,51,0.68
3529,0,72,0.7
3458,1,48,0.7
141,1,47,0.61
3909,1,70,0.94
6020,1,55,0.49
4429,0,52,0.67
2590,1,47,0.83
6105,1,58,0.62
4109,1,36,0.56
9862,0,36,0.65
347,0,53,0.84
4339,1,54,0.84
8482,1,58,0.84
8802,0,38,0.88
8788,1,58,0.74
5905,1,44,0.62
7531,0,66,0.61
4451,0,41,0.53
4688,1,24,0.39
1711,1,32,0.94
6338,1,39,0.9
8550,1,54,0.78
8980,0,33,0.89
7618,0,75,0.52
2717,0,62,0.9
6106,1,27,0.48
7022,1,59,0.63
5292,0,57,0.63
2623,0,49,0.79
1095,1,56,0.77
3247,1,66,0.7
6764,0,35,0.92
1377,0,49,0.69
2127,0,44,0.61
2325,0,37,0.64
3399,1,72,0.93
2710,1,67,0.88
4905,0,33,0.81
3697,1,40,0.95
3669,0,44,0.58
8442,1,57,0.85
8861,0,35,0.78
6902,0,35,0.92
8275,0,49,0.51
3490,0,39,0.77
2037,1,48,0.85
7920,0,51,0.61
8362,0,43,0.74
6057,1,27,0.66
4956,1,66,0.82
9113,0,42,0.76
7537,0,33,0.77
3948,0,53,0.64
4967,1,45,0.84
3035,1,44,0.86
8232,1,65,0.55
5675,1,73,0.76
6778,1,59,0.59
9696,0,39,0.58
6479,0,97,0.71
4792,1,96,0.39
8454,0,42,0.68
7137,0,44,0.69
6811,1,54,0.88
3957,0,51,0.77
3623,1,61,0.72
3747,0,20,0.92
9541,1,49,0.59
3287,0,52,0.65
9315,1,21,0.6
3583,1,46,0.56
5699,0,55,0.87
4670,1,35,0.97
7760,0,71,0.7
6336,1,53,0.6
1913,0,94,0.75
1651,1,66,0.85
3963,1,57,0.94
2176,0,69,0.94
7220,0,47,0.7
94,0,38,0.75
551,1,53,0.91
1610,0,42,0.85
6462,0,65,0.78
7943,0,51,0.43
8686,1,31,0.9
8140,1,39,0.81
8286,0,50,0.72
8421,1,27,0.5
6463,0,72,0.8
5387,0,48,0.77
5696,1,43,0.8
2959,0,38,0.72
2537,1,81,0.8
166,0,69,0.45
5998,0,21,0.49
2897,0,62,0.88
7998,0,54,0.6
188,1,28,0.8
3608,1,43,0.93
9103,1,74,0.48
2339,0,22,0.51
9232,0,39,0.69
8386,0,32,0.93
8587,1,33,0.84
3821,0,27,0.36
704,1,54,0.55
33,0,65,0.93
8885,0,35,0.64
7786,1,59,0.49
2708,0,67,0.73
4137,0,48,0.88
8043,0,57,0.38
8177,0,45,0.43
5513,1,50,0.76
3076,0,9,0.85
2229,1,59,0.7
9006,0,33,0.82
2732,0,21,0.21
4171,1,34,0.89
666,1,67,0.82
2407,1,32,0.83
2756,0,59,0.83
1002,1,54,0.8
7692,1,41,0.93
2852,0,18,0.41
2363,1,30,0.5
4097,0,44,0.73
3860,0,37,0.84
4008,1,39,0.61
645,1,27,0.6
5029,0,21,0.85
4243,0,46,0.83
8288,1,40,0.75
11,0,38,0.95
2319,0,75,0.32
7301,0,41,0.89
7719,0,55,0.77
1682,1,46,0.86
8062,1,74,0.72
8623,0,33,0.57
7356,1,53,0.81
6354,1,68,0.78
5638,1,49,0.56
4258,1,44,0.78
5322,1,60,0.87
8560,1,49,0.8
9573,0,34,0.88
1235,0,56,0.89
5689,0,26,0.66
6309,0,55,0.48
7342,1,39,0.62
9193,0,64,0.69
4696,1,46,0.94
9801,1,98,0.83
5631,1,36,0.77
1835,0,66,0.65
3465,0,76,0.9
7726,0,79,0.85
1891,1,42,0.86
1703,0,70,0.84
4519,1,33,0.72
2921,0,56,0.82
3543,0,52,0.55
4412,1,41,0.7
899,1,25,0.89
3074,0,72,0.58
8696,1,34,0.71
3280,0,73,0.79
6127,0,67,0.6
8276,1,42,0.6
7093,1,56,0.81
5000,0,66,0.81
3357,0,44,0.73
6490,1,64,0.71
1459,1,61,0.69
1230,0,40,0.42
6592,1,51,0.68
382,0,62,0.94
6458,1,34,0.93
7271,1,50,0.61
7800,0,56,0.57
6808,0,53,0.87
4872,0,60,0.69
2867,1,48,0.65
674,0,46,0.95
7300,1,61,0.67
8970,0,54,0.54
255,1,24,0.83
4235,0,54,0.74
7682,1,59,0.72
4604,1,65,0.69
3868,1,62,0.63
6023,0,49,0.67
479,0,55,0.66
8015,1,44,0.88
1743,0,50,0.64
6424,0,94,0.67
2875,0,57,0.8
3508,1,50,0.77
4482,1,30,0.95
8852,1,28,0.51
1946,1,59,0.72
7815,1,68,0.78
7274,0,45,0.97
1502,1,60,0.89
7812,0,47,0.84
8606,1,47,0.82
9002,1,63,0.75
8679,0,27,0.53
9037,1,76,0.69
3039,1,30,0.68
7032,0,39,0.91
3447,0,30,0.77
1403,1,44,0.87
8240,0,46,0.82
5592,1,71,0.72
8753,0,40,0.93
1902,1,56,0.74
8985,0,54,0.75
9320,0,56,0.56
8344,0,33,0.69
9840,0,36,0.84
5119,1,47,0.83
9694,1,50,0.72
6988,1,42,0.73
2141,1,42,0.88
1875,0,31,0.43
9769,0,50,0.96
6974,0,45,0.57
8387,0,71,0.61
3756,1,83,0.71
2405,0,51,0.64
4209,1,42,0.61
5607,0,37,0.85
4953,0,53,0.93
8675,0,28,0.76
639,0,44,0.5
1135,0,51,0.64
6184,0,45,0.79
2914,0,29,0.8
125,1,72,0.72
5008,0,43,0.87
3066,1,43,0.75
2800,1,23,0.8
6349,1,49,0.86
8999,0,59,0.62
792,1,62,0.65
3442,1,15,0.88
7029,1,51,0.89
6008,0,52,0.69
7390,0,33,0.89
4354,1,59,0.62
9699,1,45,0.97
1802,0,20,0.75
2733,1,35,0.74
3153,1,71,0.79
8022,1,80,0.87
3127,1,79,0.68
4355,1,68,0.77
9318,0,18,0.37
8498,1,45,0.96
8250,1,81,0.6
3364,1,63,0.9
2017,1,37,0.82
6840,1,61,0.68
8350,1,68,0.92
2270,1,49,0.62
9056,0,60,0.5
2115,1,45,0.91
7596,1,46,0.57
7624,1,75,0.65
9474,1,48,0.83
836,0,52,0.96
3,0,34,0.84
6773,0,43,0.94
1953,0,56,0.71
3004,0,30,0.7
7115,0,46,0.74
8060,1,49,0.98
3875,0,52,0.83
7694,1,57,0.62
6037,1,51,0.86
2583,0,43,0.88
4,0,58,0.59
8157,1,38,0.65
8908,1,66,0.84
352,1,23,0.5
179,1,60,0.89
8533,0,25,0.81
7671,0,47,0.51
5001,1,52,0.86
9422,1,69,0.79
9812,1,15,0.81
8363,1,46,0.51
7072,1,44,0.72
2865,0,32,0.83
5124,0,41,0.87
7534,1,79,0.83
5836,1,37,0.88
443,1,52,0.95
7754,1,70,0.87
929,0,27,0.64
4820,0,54,0.67
7279,0,42,0.7
2497,0,46,0.77
1992,1,70,0.89
9467,0,45,0.75
1710,0,48,0.8
2421,1,28,0.88
8272,1,41,0.78
8732,1,46,0.88
4839,0,62,0.89
362,0,52,0.66
801,0,56,0.5
851,1,22,0.71
3987,1,40,0.84
2801,1,34,0.76
8102,0,48,0.76
7829,1,62,0.67
4546,0,63,0.84
3835,0,71,0.78
3248,0,49,0.73
8819,0,41,0.72
1723,1,54,0.89
3284,0,52,0.78
1675,0,69,0.91
637,1,50,0.91
137,1,47,0.63
6247,0,41,0.52
1247,1,60,0.86
1998,1,27,0.4
8218,0,54,0.43
5684,1,32,0.48
3522,0,45,0.66
1592,0,34,0.57
5803,1,44,0.43
5673,0,84,0.75
8205,0,48,0.28
8721,0,28,0.73
2069,0,71,0.72
4195,1,47,0.42
9428,1,46,0.83
8936,1,48,0.86
8077,0,47,0.89
4221,1,51,0.76
2689,0,56,0.55
7267,1,51,0.63
5114,0,30,0.78
5522,1,36,0.84
2272,1,34,0.69
913,0,44,0.81
9286,1,45,0.94
214,1,42,0.59
9364,0,63,0.89
4525,1,66,0.64
7169,0,30,0.65
4071,0,48,0.92
556,0,50,0.55
4897,0,40,0.69
5341,1,68,0.62
865,0,63,0.66
6920,1,38,0.67
9426,1,69,0.64
6824,0,40,0.7
3945,0,91,0.89
4272,1,37,0.71
3402,1,56,0.91
2340,0,56,0.68
821,0,51,0.81
3952,1,54,0.5
3514,0,41,0.7
8881,0,58,0.96
1179,0,64,0.82
8553,1,72,0.92
3746,1,58,0.76
1949,1,61,0.97
4640,0,56,0.8
824,0,44,0.73
1476,0,40,0.73
3789,1,63,0.69
9385,1,53,0.66
910,0,53,0.93
8202,1,60,0.79
9635,0,42,0.53
68,1,42,0.68
9270,0,57,0.74
3599,0,25,0.79
5334,0,14,0.76
7847,0,53,0.63
7565,0,41,0.68
799,0,52,0.76
1344,0,29,0.85
4237,1,47,0.36
1014,0,20,0.61
7005,0,44,0.64
3467,1,29,0.6
8946,1,39,0.79
492,1,60,0.64
6872,0,60,0.76
3656,0,53,0.82
3721,0,54,0.77
2097,1,72,0.74
9280,0,29,0.94
1134,1,67,0.53
3914,1,54,0.76
9324,0,37,0.58
4381,0,52,0.62
3104,1,60,0.75
6947,0,44,0.77
748,0,45,0.61
529,1,44,0.79
4277,0,64,0.85
9766,1,83,0.95
2993,0,61,0.73
989,0,41,0.81
4236,0,46,0.58
9146,1,67,0.8
8283,1,54,0.65
502,1,53,0.79
1603,0,38,0.86
3078,0,66,0.89
5506,0,31,0.79
1746,0,63,0.77
5762,1,57,0.84
3935,0,65,0.84
2034,1,75,0.94
1660,0,66,0.54
672,0,34,0.81
7910,0,31,0.84
1428,0,55,0.53
884,0,44,0.48
5273,0,57,0.79
4301,1,19,0.87
3230,1,33,0.76
8106,0,86,0.79
1045,1,26,0.64
9425,1,82,0.6
9219,0,42,0.28
5258,0,51,0.85
646,1,62,0.93
6122,1,50,0.57
8895,1,51,0.84
3091,1,49,0.83
9844,0,41,0.49
6763,0,61,0.8
1907,0,54,0.77
8540,1,46,0.75
1528,0,43,0.61
9101,1,47,0.91
8183,1,49,0.89
2532,1,61,0.55
7940,0,30,0.47
8510,0,69,0.69
3218,1,50,0.67
3024,1,35,0.95
4153,1,40,0.86
5527,0,61,0.56
6702,1,24,0.86
4961,1,60,0.75
6316,0,60,0.62
8892,0,14,0.92
3509,0,65,0.85
6990,0,61,0.77
6512,1,75,0.77
8148,1,43,0.88
667,1,63,0.8
5318,0,23,0.8
7110,0,26,0.61
8502,0,58,0.67
1899,0,56,0.84
9202,1,47,0.91
5248,1,35,0.93
1056,0,70,0.57
7967,1,52,0.86
4662,1,53,0.81
7239,1,37,0.84
9336,0,58,0.79
5289,0,28,0.74
7142,1,51,0.8
318,1,72,0.95
9430,0,33,0.9
2783,1,32,0.91
2677,1,76,0.54
5494,1,68,0.78
8260,1,38,0.92
3477,1,25,0.51
4267,0,47,0.69
3703,1,38,0.35
3766,0,80,0.63
1845,1,40,0.92
210,0,56,0.5
9788,1,23,0.77
4337,0,59,0.87
7014,1,45,0.64
2587,0,35,0.56
580,1,84,0.85
3603,1,40,0.82
936,0,50,0.76
4434,1,53,0.57
1671,1,57,0.73
4100,0,57,0.99
5985,0,57,0.62
7658,0,51,0.36
9691,0,43,0.49
3080,0,20,0.7
2544,1,65,0.84
268,0,54,0.89
6518,0,33,0.72
4222,0,49,0.88
