ID,Gender,Age,StudentId,Attendance,TestScore
86,female,56,53 Br,0.96,80.3
87,male,53,38 PB,0.56,44.72
88,male,73,08 hF,0.82,57.02
89,male,65,84 QU,0.7,78.22
90,male,76,11 ho,0.92,71.3
91,male,57,78 PD,0.65,61.24
92,female,54,44 dn,0.91,44.52
93,male,32,00 LZ,0.82,70.51
94,male,38,92 lT,0.75,60.66
95,male,41,12 oQ,0.73,47.39
96,female,23,75 JN,0.74,62.38
97,male,42,77 LW,0.73,81.64
98,male,44,79 tS,0.84,76.49
99,male,54,28 nd,0.89,76.28
100,male,58,95 Tc,0.75,77.59
101,female,72,52 MU,0.79,83
102,male,45,30 Zy,0.67,51.11
103,female,44,08 Dv,0.53,51.03
104,female,46,09 dY,0.69,75.5
105,male,35,43 Mv,0.68,60.44
106,male,48,71 DV,0.76,50.11
107,male,57,48 TX,0.47,35.27
108,female,33,03 UW,0.96,81.19
109,female,67,96 ZZ,0.93,75.57
110,male,26,21 rE,0.51,33.01
111,male,35,16 aM,0.79,70.32
112,female,38,85 LN,0.88,62.22
113,female,27,56 Mh,0.9,70.61
114,female,43,80 kq,0.55,30.18
115,male,27,50 HV,0.53,47.05
116,male,49,12 nM,0.78,78.46
117,male,47,49 SU,0.73,55.8
118,female,55,95 fI,0.88,85.08
119,male,30,07 eo,0.64,62.47
120,male,26,74 kl,0.86,68.78
121,female,41,63 sa,0.94,81.19
122,female,66,99 CO,0.82,84.37
123,female,55,51 yt,0.71,56
124,male,43,87 RE,0.83,61.2
125,female,72,18 WF,0.72,55.71
126,female,15,48 dd,0.85,88.68
127,female,33,01 eY,0.66,64.06
128,female,49,72 HJ,0.72,59.76
129,male,29,40 CX,0.62,52.76
130,male,44,31 ik,0.6,52.73
131,male,38,81 Yg,0.7,39.91
132,male,87,70 mN,0.72,61.15
133,female,76,10 Px,0.47,49.86
134,female,32,46 HY,0.85,83.11
136,female,58,61 ME,0.65,48.4
137,male,59,71 MY,0.78,66.35
138,female,47,62 Fd,0.63,50.26
139,female,63,44 Ua,0.56,40.77
140,male,43,10 Cz,0.96,86.45
141,female,46,83 LP,0.88,77.31
142,female,47,29 JI,0.61,60.39
143,female,22,45 Mo,0.79,76.8
144,female,9,04 tb,0.85,73.07
145,female,46,11 jB,0.8,85.87
146,male,37,59 Uk,0.76,57.67
147,female,76,71 Fx,0.87,65.32
148,female,50,03 fD,0.8,64.62
149,female,35,78 xg,0.95,92.89
150,female,53,85 Ar,0.83,79.93
151,male,79,48 uc,0.73,81.53
152,female,36,32 Gv,0.7,68.78
153,female,64,64 wy,0.85,68.55
154,male,44,90 qE,0.3,20.76
155,female,60,71 Br,0.89,78.43
156,male,29,92 bi,0.8,71.61
157,female,56,67 zV,0.92,80.75
158,female,29,51 XP,0.89,79.44
159,male,43,40 zG,0.69,65.42
160,male,40,66 ud,0.42,45.22
161,female,39,85 QB,0.78,70.32
162,male,43,27 OD,0.9,76.12
163,female,36,08 Af,0.87,63.01
164,male,68,76 sG,0.71,73.21
165,female,40,11 wY,0.53,48.83
166,female,56,70 ut,0.6,54.26
167,male,69,35 bg,0.45,49.71
168,female,64,12 rA,0.84,77.96
169,female,69,79 rk,0.55,44.01
170,female,52,57 ZB,0.85,83.19
171,female,74,38 fS,0.82,78.87
172,female,48,87 LX,0.85,70.64
173,male,64,61 rm,0.87,64.86
174,male,55,03 eo,0.73,40.19
175,male,33,88 eI,0.93,81.3
176,female,70,61 vq,0.76,66
177,male,50,07 oe,0.66,73.91
178,male,55,02 Ws,0.8,81.83
179,female,38,48 Hg,0.58,39.01
180,female,60,30 ZG,0.89,80.01
181,male,15,86 mv,0.96,86.48
182,male,61,63 wu,0.93,81.63
183,female,29,80 Gj,0.46,33.46
184,male,69,23 mJ,0.92,78.07
185,male,63,89 zQ,0.58,41.26
186,male,52,68 hQ,0.66,69.31
187,female,56,04 sW,0.76,63.93
188,male,49,39 kz,0.76,57.66
189,female,28,17 Nv,0.8,61.9
190,male,51,84 TK,0.55,37.13
191,female,64,70 hO,0.72,66.86
192,female,35,45 UQ,0.52,37.48
193,male,65,49 JC,0.87,65.54
194,female,60,71 QS,0.92,78.31
195,female,47,97 su,0.49,40.93
196,male,49,97 cU,0.68,62.6
197,male,53,62 Pk,0.87,83.43
198,female,43,52 KY,0.93,83.86
199,male,83,36 iP,0.62,60.77
200,female,35,64 mh,0.6,45.49
201,male,57,96 PQ,0.6,48.06
202,male,62,62 xr,0.67,51.35
203,female,36,56 uk,0.63,58.15
204,male,42,96 XQ,0.53,53.81
205,female,14,93 YM,0.79,67.02
206,female,45,26 qI,0.82,70.01
207,male,24,16 Fw,0.88,76.42
208,female,45,37 CF,0.68,61.43
209,female,63,89 yP,0.92,86.42
210,male,17,87 Hm,0.64,42.22
211,male,56,54 sp,0.5,44.03
212,male,48,08 MT,0.58,43.76
213,female,53,71 ag,0.48,33.06
214,male,62,81 EO,0.82,63.47
215,female,42,27 Zz,0.59,59.05
216,male,40,71 Ln,0.83,73.59
217,female,61,30 pt,0.41,37.72
218,male,56,32 ep,0.69,64.07
219,female,52,33 hH,0.79,75.72
220,male,33,17 vi,0.55,59.25
221,female,48,38 CD,0.65,71.92
222,male,47,72 wn,0.85,73.14
223,male,50,58 wE,0.5,43.68
224,female,50,20 op,0.92,75.97
225,female,35,84 Bu,0.96,78.42
226,female,58,08 mD,0.61,49.44
227,male,32,72 Gd,0.55,31.8
228,male,45,04 Qd,0.91,82.38
229,male,55,43 tV,0.65,43.2
230,male,71,80 vr,0.73,62.25
231,female,56,08 EE,0.66,54.63
232,male,55,69 Ox,0.62,61.4
233,male,23,59 ql,0.59,50.91
234,male,61,19 Zx,0.88,81.35
235,female,32,12 UV,0.76,66.21
236,male,43,44 mj,0.76,49.97
237,female,60,89 XV,0.98,87.84
238,male,65,48 TM,0.89,70.44
239,female,35,55 AR,0.88,81.42
240,female,53,80 uJ,0.75,61.85
241,male,57,69 zU,0.72,71.13
242,male,47,04 Oe,0.66,59.58
243,male,42,14 vv,0.8,64.43
244,male,67,42 sJ,0.76,71.1
245,male,60,16 xT,0.41,43.53
246,female,68,91 lG,0.72,82.13
247,male,42,95 YW,0.71,56.33
248,female,48,66 ka,0.7,53.95
249,female,71,93 nK,0.52,26.78
250,female,40,85 FN,0.92,99.89
251,female,59,00 mu,0.76,66.27
252,female,26,10 Xb,0.51,27.51
253,female,50,06 Lv,0.7,62.53
254,male,65,13 hm,0.8,74.16
255,female,52,72 NR,0.63,57.38
256,female,24,71 Ny,0.83,75.76
258,male,49,74 aa,0.76,63.08
259,male,51,43 No,0.41,41.58
260,male,67,24 tS,0.82,86.34
261,male,35,89 BK,0.8,70.47
262,male,66,57 Oa,0.8,69.59
263,male,40,97 wc,0.7,50.59
264,male,57,54 xR,0.69,61.49
265,male,52,38 Po,0.9,75.64
266,female,39,64 rv,0.83,82.09
267,male,61,00 hq,0.82,54.53
268,female,68,91 kv,0.54,41.82
269,female,46,99 Am,0.48,50.99
270,male,54,08 NZ,0.89,73.3
271,female,40,64 tO,0.95,91.36
272,female,64,40 QX,0.65,57.78
273,male,50,53 bI,0.58,66.34
274,male,65,12 rS,0.65,71.84
275,male,56,90 Kc,0.43,38.56
276,female,51,85 JG,0.69,59.06
277,male,65,53 ey,0.82,72.09
279,male,32,17 FV,0.69,70.19
280,male,49,05 ev,0.88,87.84
281,male,43,86 tI,0.85,71.74
282,male,54,17 Xe,0.52,70.07
283,female,40,92 eS,0.71,52.53
284,male,57,09 Tc,0.86,66.01
285,male,37,76 FV,0.95,68.86
286,female,67,47 Kk,0.87,60.05
287,male,36,17 aO,0.84,92.84
288,male,61,55 AC,0.79,62.37
289,female,20,87 yq,0.64,65.37
290,female,66,96 Tu,0.97,88.86
291,male,56,08 FO,0.78,61.43
292,male,59,15 Zt,0.9,76.58
293,male,68,29 jZ,0.86,75.94
294,female,34,86 yD,0.52,41.62
295,female,45,05 aG,0.81,76.39
296,male,49,98 cY,0.58,47.24
297,female,66,63 JJ,0.8,52.68
298,female,29,77 XZ,0.75,71.33
299,female,40,64 ys,0.6,55.8
300,female,39,03 CQ,0.93,90.41
301,female,70,46 Ru,0.57,27.09
302,male,34,58 vq,0.81,73.73
303,female,70,86 wQ,0.47,33.1
305,female,46,11 jn,0.84,61.91
306,female,73,52 lq,0.88,68.98
307,male,56,87 gp,0.77,64.22
308,female,61,18 nU,0.91,79.93
309,female,55,29 PI,0.86,79.38
310,male,30,98 lY,0.94,87.85
311,female,43,73 nb,0.97,99.95
312,male,67,53 nr,0.79,92.49
313,male,54,79 Ar,0.73,66.65
314,female,54,77 Bm,0.69,57.59
315,female,67,34 iw,0.84,66.19
316,female,42,03 GZ,0.61,43.79
317,male,70,44 gt,0.92,82.12
318,male,62,95 CF,0.76,69.94
319,female,53,36 Fx,0.65,64.76
320,male,54,18 uq,0.93,88.61
321,male,48,46 rV,0.82,69.06
322,female,72,01 fb,0.95,81.46
323,female,36,10 Sp,0.8,80.16
324,male,52,89 Rc,0.88,71.32
325,male,54,60 GK,0.88,46.8
326,male,50,24 sQ,0.94,89.12
327,male,79,55 CL,0.96,90.9
328,male,60,62 Np,0.79,72.01
329,female,60,97 UG,0.73,53.8
330,female,42,34 jD,0.82,69.22
331,female,45,89 XF,0.65,57.03
332,female,46,62 rt,0.69,58.44
333,male,40,78 Dk,0.87,65.2
334,female,64,86 wU,0.44,49.25
335,male,33,42 dq,0.77,79.72
336,female,36,98 rk,0.49,38.99
337,female,31,69 WS,0.83,53.26
338,female,54,60 JV,0.94,99.89
339,male,61,84 PU,0.76,60.52
340,female,54,43 Md,0.63,48.77
341,male,44,33 qU,0.4,44.4
342,male,70,96 bJ,0.8,72.85
343,male,29,80 XU,0.64,54.87
344,female,55,61 qD,0.77,75.38
345,male,43,39 hC,0.62,51.26
346,female,51,41 PP,0.84,80.68
347,male,54,73 EC,0.72,61.35
348,male,54,43 xp,0.82,66.32
349,female,53,81 Vk,0.81,78.17
350,female,36,26 QH,0.69,68.23
351,male,53,44 qo,0.84,76.66
352,female,64,00 mp,0.9,76.72
353,female,48,31 QX,0.59,31.92
354,female,44,66 oQ,0.74,63.66
355,female,66,44 UT,0.85,93.22
356,female,23,72 jZ,0.5,37.52
357,male,51,94 hX,0.55,45.1
358,male,55,92 qK,0.9,91.52
359,female,71,16 MD,0.74,55.73
360,female,54,89 mQ,0.72,68.58
361,male,57,23 Hf,0.69,45.54
362,female,68,95 rq,0.85,81.96
363,female,42,43 RI,0.69,64.75
364,male,52,29 QG,0.6,47.35
365,male,55,50 LF,0.48,39.24
366,male,52,16 pC,0.66,74.7
367,male,42,06 CJ,0.89,99.01
368,female,62,61 Vx,0.81,60.75
369,female,50,62 LT,0.75,72.21
370,male,37,55 wo,0.84,70.07
371,male,56,21 qR,0.31,9.21
372,female,48,72 vo,0.77,67.7
373,male,46,46 uk,0.82,71.62
374,male,47,75 MF,0.67,63.28
375,male,38,58 ss,0.6,48.04
376,male,56,66 jl,0.77,58.88
377,male,35,32 co,0.92,91.07
378,female,62,35 gJ,0.8,68.08
379,male,71,63 vk,0.67,55.75
380,male,49,96 qP,0.74,48.05
381,female,48,62 Yk,0.82,66.98
382,female,71,16 pZ,0.97,85.68
383,male,74,88 Az,0.81,74.77
384,female,83,05 df,0.59,45.82
385,male,26,96 mJ,0.8,89.09
386,male,62,09 Qd,0.94,85.4
387,male,40,09 tE,0.94,97.82
388,male,34,35 Ch,0.78,72.5
389,female,47,98 lr,0.71,39.87
390,female,48,98 Xp,0.82,75.23
392,female,52,57 hi,0.87,92.85
393,male,54,15 OB,0.42,35.12
394,male,34,76 wL,0.75,52.56
395,male,67,38 yW,0.93,81.65
396,female,54,79 MO,0.96,82.11
397,female,24,98 Et,0.45,38.64
398,male,44,30 eg,0.52,44.43
399,male,45,61 xW,0.63,42.64
400,male,76,58 fl,0.82,69.22
401,male,56,55 KJ,0.56,53.11
402,male,73,19 Su,0.65,56.26
404,female,46,42 No,0.69,63.96
405,male,57,17 MR,0.64,57.01
406,male,43,12 YO,0.66,63.3
407,male,54,86 nX,0.93,79.98
408,male,63,76 yI,0.78,71.15
409,female,34,79 lP,0.56,33.27
410,female,33,59 gh,0.97,75.9
411,female,31,64 qc,0.92,77.62
412,female,31,24 RH,0.41,35.87
413,female,62,30 Ms,0.68,55.41
414,female,26,46 EQ,0.89,68.98
415,male,39,57 Tb,0.44,20.38
416,male,47,38 uv,0.86,75.25
417,female,46,32 Mq,0.91,64.31
418,female,38,67 So,0.38,39.8
419,male,21,13 kS,0.7,55.27
420,male,16,97 UI,0.73,62.18
421,male,59,81 Jh,0.66,46.41
422,female,40,81 Fq,0.84,72.93
423,female,73,56 Sg,0.51,36.51
424,female,47,82 JZ,0.88,89.44
425,male,26,99 dK,0.55,32.61
426,male,37,33 VC,0.95,79.74
427,female,56,52 dk,0.89,77.56
428,female,68,65 sz,0.82,69.32
429,male,57,14 Ff,0.55,58.93
430,female,40,49 Vk,0.87,78.08
431,female,54,30 qO,0.65,60.72
432,male,70,51 ra,0.64,56.93
433,male,6,83 Ai,0.49,28.87
434,female,31,51 yF,0.83,62.19
435,female,74,62 in,0.97,89.69
436,female,24,59 SP,0.8,74.07
437,female,62,54 hO,0.8,84.86
438,male,48,71 IV,0.7,67.4
439,male,38,57 rI,0.97,86.58
440,female,42,94 qi,0.94,95.68
441,female,34,09 Xy,0.74,56.1
442,female,58,11 MK,0.33,31.35
443,male,53,50 Rq,0.52,40.68
444,female,57,05 kL,0.9,93.99
445,female,78,41 Io,0.78,79.52
446,male,73,70 dc,0.76,64.25
447,male,47,05 FB,0.83,76.65
448,female,30,79 sv,0.58,48.95
449,female,52,33 Fv,0.95,67.04
450,male,78,31 My,0.8,61.73
451,male,57,67 tK,0.63,36.54
452,female,42,46 DH,0.77,66.05
453,female,66,52 fl,0.73,73.62
454,male,26,95 yH,0.6,62.55
456,female,65,74 au,0.44,53.33
457,female,80,04 MB,0.96,77.82
458,female,39,14 Ov,0.81,63.02
459,female,59,78 pI,0.63,71.24
460,female,62,88 xO,0.77,61.66
461,female,64,84 eJ,0.44,42.24
462,female,61,86 wo,0.82,62
463,female,55,07 Ln,0.42,22.46
464,female,49,46 qZ,0.5,47.8
465,female,61,71 Pw,0.46,26.73
466,male,55,86 Yv,0.9,86.77
467,male,39,12 CL,0.47,40.35
468,female,47,59 Xg,0.67,69.64
469,male,19,06 Ha,0.55,53.12
470,male,57,47 ts,0.88,80.38
471,female,45,26 cd,0.82,63.37
472,female,59,53 Zk,0.87,84.1
473,male,4,34 fL,0.74,61.28
474,female,76,34 Ws,0.92,79.04
475,male,38,40 Kl,0.72,51.87
476,male,33,24 Xe,0.77,73.54
477,male,71,89 xI,0.78,56.98
478,male,47,40 eS,0.56,56.28
479,female,48,00 pr,0.81,54.88
480,female,24,57 Vr,0.68,55.21
481,female,60,64 cT,0.8,68.83
482,male,36,12 RX,0.37,7.3
483,male,46,00 Fx,0.63,54.46
484,male,57,97 SM,0.32,10.14
485,female,50,87 EY,0.76,70.06
486,male,55,75 jX,0.66,39.43
487,female,76,42 UZ,0.89,83.67
488,female,15,95 aX,0.64,57.87
489,female,47,59 Eo,0.64,43.61
490,female,45,71 aP,0.46,33.89
491,male,71,73 xC,0.39,33.97
492,female,47,36 OZ,0.72,90.11
493,male,56,80 Do,0.43,35.8
494,female,63,96 SS,0.96,97.72
495,female,41,98 at,0.96,84.61
496,male,38,83 Rl,0.37,35.96
497,male,70,81 Lb,0.86,81.24
498,female,51,83 KA,0.55,29.8
499,female,60,87 cC,0.64,61.2
500,female,46,74 Tg,0.79,60.89
501,female,50,42 yC,0.85,71.54
502,female,48,26 Wb,0.88,82.87
503,male,65,09 li,0.65,51.32
504,female,51,61 XW,0.66,54.03
505,male,51,38 OO,0.82,75.99
506,female,63,66 Cc,0.54,48.24
507,male,37,29 JS,0.53,36.21
508,female,96,54 OK,0.97,87.27
509,female,53,71 wT,0.79,73.25
510,female,78,55 nV,0.91,78.83
511,female,68,31 qu,0.86,82.34
512,female,37,53 GX,0.69,39.51
513,female,44,19 iw,0.85,67.94
514,female,73,56 uT,0.53,42.4
515,female,41,04 Po,0.53,55.88
516,male,41,92 kJ,0.92,82.22
517,female,74,90 hi,0.64,42.24
518,male,46,06 Vv,0.83,84.76
519,female,14,57 oU,0.71,44.21
520,female,56,79 lr,0.93,74.88
521,male,20,80 II,0.83,97.01
522,female,62,30 mT,0.69,51.8
523,male,56,39 TR,0.73,65.38
524,male,71,15 XW,0.74,74.68
525,female,50,45 OF,0.75,64.25
526,female,38,55 WX,0.75,70.52
527,female,60,62 eA,0.74,40.55
528,female,44,14 eq,0.89,81.63
530,male,70,72 ak,0.75,55.81
531,male,34,88 VA,0.78,66.51
532,female,63,20 oG,0.65,69.72
533,female,59,23 JI,0.85,90.25
534,male,36,66 Kb,0.53,54.6
535,female,55,78 bS,0.93,87.51
536,female,39,86 uS,0.88,78.85
537,female,44,37 Mg,0.79,58.34
538,male,76,05 Ta,0.51,49.55
539,female,30,04 LY,0.74,66.24
540,male,44,59 rt,0.26,9.56
541,female,49,16 BO,0.88,82.15
542,female,15,19 Yg,0.86,72.92
543,male,49,46 qx,0.75,59.49
544,male,31,62 Hc,0.92,70.36
545,female,39,41 FJ,0.74,64.28
546,male,52,93 Qb,0.91,98.32
547,female,47,26 yD,0.55,35.07
548,female,31,32 Rf,0.64,64.1
549,male,64,92 mB,0.91,70.15
550,male,66,40 Jn,0.92,87.75
551,male,21,28 de,0.85,66.32
552,male,39,97 Bz,0.32,25.18
553,female,53,53 HN,0.5,48.46
554,male,51,81 MA,0.38,26.73
555,female,34,96 oY,0.7,54.43
557,female,38,67 sA,0.64,46.08
558,female,38,00 pi,0.6,46.89
559,male,63,63 IY,0.73,63.1
560,female,53,04 vq,0.91,95.26
561,female,55,24 jd,0.77,77.61
562,male,39,58 wf,0.79,79.53
563,male,50,85 qv,0.63,40.79
564,female,47,50 FH,0.85,77.71
565,male,50,84 bc,0.55,46.56
566,female,41,49 sz,0.72,62.88
567,male,73,18 SK,0.6,59.95
568,male,47,83 EN,0.82,57.2
569,female,56,75 Gt,0.78,83.04
570,male,39,45 kx,0.93,80.61
571,female,29,84 Wo,0.73,71.61
572,female,50,86 tF,0.71,53.53
573,female,43,90 wp,0.72,65.61
575,female,58,08 QQ,0.85,89.31
576,male,40,89 VN,0.89,69.45
577,female,51,75 tB,0.7,62.15
578,male,65,51 vK,0.63,36.14
579,male,46,73 Ag,0.97,88.3
580,female,64,30 qq,0.82,65.82
581,male,52,13 Et,0.49,29.41
582,female,50,89 HY,0.75,79.99
583,female,63,94 WD,0.76,76.09
584,male,55,00 Xa,0.73,57.87
585,female,20,96 xA,0.79,58.45
586,male,58,10 kw,0.72,74.07
587,male,39,42 zy,0.87,77.9
588,female,63,59 yN,0.64,62.76
589,male,45,03 hF,0.85,90.63
590,female,84,36 ub,0.85,77.83
591,male,48,95 Cy,0.94,84.49
592,female,56,66 XJ,0.78,72.19
593,female,52,87 Vq,0.68,69.13
594,female,45,67 nn,0.9,67.16
595,female,62,13 ur,0.99,88.43
596,female,41,60 vE,0.72,48.52
597,female,42,91 yv,0.69,57.17
598,male,80,90 Ph,0.85,69.15
599,male,41,81 iT,0.77,65.93
600,female,57,61 ZF,0.65,48.59
601,female,75,20 GG,0.93,81.47
602,female,55,77 ct,0.7,55.15
603,female,35,05 er,0.66,46.09
604,male,43,39 Km,0.58,44.48
605,female,41,56 xu,0.55,46.76
606,male,45,16 Sr,0.69,56.6
607,male,49,14 tr,0.79,64.28
608,male,44,29 Yn,0.74,52.54
609,male,68,52 BV,0.65,57.3
610,female,41,20 ru,0.94,78.43
611,male,46,99 na,0.69,63
612,male,42,02 vl,0.72,71.33
613,female,49,87 QT,0.89,63.44
614,male,30,44 Cj,0.65,60.62
615,male,70,78 LA,0.25,35
616,male,45,40 AA,0.53,42.9
617,male,41,05 Et,0.84,90.48
618,female,69,25 yt,0.98,78.24
619,female,60,82 jj,0.69,64.42
620,male,83,89 pN,0.65,63.19
621,male,45,04 zS,0.72,59.1
622,male,46,59 dJ,0.67,73.73
623,male,54,28 sM,0.82,69.65
624,male,54,18 Zp,0.61,40.36
625,male,49,72 gA,0.57,44.65
626,male,72,99 aH,0.58,50.08
627,female,79,88 zb,0.51,49.34
628,female,54,67 RP,0.97,86.84
629,male,62,41 rB,0.9,95.49
630,male,38,23 IW,0.56,32.74
631,male,88,01 bY,0.57,30.49
632,female,39,17 HF,0.95,83
633,female,50,92 xG,0.64,58.9
634,male,29,13 DO,0.69,71.43
635,male,36,34 TA,0.67,62
637,female,53,69 LW,0.37,38.87
638,male,63,41 ZI,0.83,71.04
639,female,54,03 Id,0.84,79.81
640,male,75,01 PB,0.64,41.39
641,male,47,47 MY,0.78,55.2
642,male,54,69 po,0.9,79.23
643,female,73,75 ZU,0.51,68
644,female,49,18 DX,0.73,83.17
645,female,58,70 Pe,0.66,59.97
646,female,59,31 XK,0.65,35.19
647,male,56,73 nl,0.55,44.57
648,female,50,74 nb,0.91,74.75
649,male,38,79 MY,0.8,73.23
650,male,44,09 Ql,0.5,37.82
651,male,60,47 Pg,0.71,69.38
652,male,42,86 yI,0.74,57.65
653,male,40,62 PE,0.73,60.16
654,male,61,51 QI,0.67,58.23
655,female,61,72 fs,0.9,97.17
656,female,27,74 jh,0.6,40.5
657,female,62,55 ev,0.93,86.33
658,female,41,34 ws,0.9,90.45
659,male,69,51 Zz,0.88,84.3
660,male,45,42 cd,0.62,50.24
661,female,47,02 cc,0.85,99.02
662,female,52,79 Pu,0.64,65.76
663,female,58,67 iL,0.86,87.15
664,male,51,34 ip,0.7,49.1
665,female,62,88 Yd,0.84,68.58
666,female,32,74 qP,0.79,69.97
667,female,63,25 nM,0.43,20.8
668,female,41,64 kI,0.67,59.43
669,female,56,55 jA,0.73,65.61
670,female,64,21 vW,0.76,42.32
671,female,48,33 iQ,0.93,90.08
672,female,72,31 Wv,0.76,71.59
673,male,38,13 xt,0.9,88.99
674,female,26,76 gY,0.76,61.89
675,female,73,81 Ln,0.88,94.24
676,male,65,85 HQ,0.94,83
677,female,67,93 jA,0.82,79.04
678,female,63,84 iS,0.8,66.52
679,female,57,13 OF,0.87,59.67
680,male,53,40 XB,0.65,52.6
681,female,28,34 Od,0.71,59.42
682,female,58,69 fq,0.95,95.75
683,male,34,67 dK,0.81,71.45
684,female,57,61 sC,0.91,73.94
685,male,46,56 Up,0.95,94.2
687,male,37,66 FQ,0.87,79.07
688,male,36,55 Gi,0.76,75.83
689,male,58,64 KI,0.96,93.2
690,female,65,88 ta,0.6,47.79
691,female,42,85 iG,0.72,55.98
692,male,77,19 Rw,0.89,87.75
693,female,58,81 Ib,0.62,59.91
694,female,66,80 fr,0.54,52.76
695,female,34,45 ki,0.31,16.81
696,male,56,02 oM,0.88,66.21
697,female,33,07 HW,0.85,75.91
698,female,59,84 iD,0.83,89.77
699,female,58,66 wZ,0.81,66.37
700,male,61,65 UN,0.94,78.05
701,male,70,57 nu,0.78,74.97
702,female,25,59 rR,0.92,72.9
703,male,56,83 rt,0.6,52.47
704,female,47,28 yT,0.98,95
705,female,49,75 SH,0.81,57.13
706,female,35,10 Lx,0.73,70.65
707,female,58,15 An,0.85,93.43
708,female,46,04 GI,0.9,70.51
709,male,46,04 Fl,0.89,75.02
710,male,54,35 lv,0.51,48.71
711,female,23,22 cb,0.53,44.42
712,male,44,84 JA,0.88,77.36
713,male,51,22 Df,0.74,51.44
714,male,33,44 YF,0.68,68.94
715,male,57,76 Ay,0.72,48.22
716,female,54,18 zb,0.55,70.33
717,male,45,94 Ph,0.7,68.25
718,female,51,96 Yz,0.59,42.95
719,female,40,49 hQ,0.83,53.12
720,female,70,06 oD,0.55,49.37
721,male,23,72 ZY,0.72,50.61
722,female,52,06 qK,0.61,46.11
723,male,57,01 GY,0.88,79.69
724,male,49,40 dP,0.7,21.34
725,male,23,63 GA,0.6,51.78
726,female,66,36 ZZ,0.39,25.55
727,female,41,92 Zt,0.96,87.92
728,male,46,22 wt,0.85,85.64
729,male,34,05 SL,0.42,34.3
730,male,60,28 er,0.29,11.42
731,male,39,28 FA,0.43,45.25
732,male,32,79 hp,0.63,54.26
733,male,48,84 lo,0.57,37.79
734,male,50,98 GS,0.38,43.82
735,male,44,24 MK,0.63,43.93
736,female,66,87 Ll,0.84,75.68
737,female,55,92 Aw,0.84,61.29
